cust_id,name,gender,phone,email,age,state,customer_group
1,Alan Lewis,Female,08036240655,alanlewis10@gmail.com,15,Ogun,Group 1
2,Jennifer Chung,Male,07710318574,jenniferchung10@gmail.com,36,Ondo,Group 1
3,Tyler Kaiser,Female,09943080802,tylerkaiser62@yahoo.com,69,Cross River,Group 2
4,Catherine Morris,Male,07856849021,catherinemorris58@gmail.com,23,Oyo,Group 1
5,Jeffrey Mcintyre,Female,07711913101,jeffreymcintyre51@hotmail.com,40,Ogun,Group 1
6,Andrew Weaver,Female,09968771375,andrewweaver54@hotmail.com,23,Cross River,Group 1
7,Patrick Carson,Male,08911515934,patrickcarson90@hotmail.com,53,Ogun,Group 2
8,Angela Thomas,Female,07569276750,angelathomas97@hotmail.com,51,Oyo,Group 1
9,Rachel Grimes,Female,09790196391,rachelgrimes74@hotmail.com,53,Lagos,Group 2
10,Shannon Smith,Female,09056668988,shannonsmith33@gmail.com,26,Ondo,Group 2
11,Timothy Hogan,Female,08154312394,timothyhogan74@yahoo.com,35,Abuja,Group 2
12,Amy Porter,Male,07292925625,amyporter1@gmail.com,73,Abuja,Group 1
13,Michael Hall,Female,09684225993,michaelhall94@gmail.com,30,Kwara,Group 2
14,Thomas Adams,Female,09268153038,thomasadams30@yahoo.com,56,Cross River,Group 2
15,Vincent Schwartz,Female,07960139496,vincentschwartz48@gmail.com,67,Oyo,Group 2
16,Robert Brown,Male,08504472183,robertbrown36@yahoo.com,64,Kwara,Group 2
17,Mr. Steven Howard,Male,08504082392,mr.stevenhoward53@hotmail.com,50,Cross River,Group 2
18,Ricardo Bailey,Male,09236860110,ricardobailey30@hotmail.com,61,Cross River,Group 2
19,Carol Munoz,Male,07605181330,carolmunoz13@hotmail.com,32,Oyo,Group 1
20,Wendy Evans,Male,07783326630,wendyevans11@yahoo.com,27,Ekiti,Group 2
21,Charles Holder,Female,08127195039,charlesholder21@yahoo.com,49,Cross River,Group 1
22,Martha Rodriguez,Female,08828649780,martharodriguez37@hotmail.com,51,Lagos,Group 2
23,Brenda Holmes,Male,07138774296,brendaholmes22@hotmail.com,71,Ekiti,Group 1
24,Heather Haley,Female,09695040884,heatherhaley58@yahoo.com,43,Lagos,Group 1
25,Erin Lindsey,Male,07985370404,erinlindsey98@hotmail.com,40,Kwara,Group 1
26,Amanda Coleman,Female,09572224835,amandacoleman39@yahoo.com,19,Oyo,Group 1
27,Karen Richardson,Male,09567606246,karenrichardson95@gmail.com,29,Kwara,Group 1
28,Sheri Beltran,Male,09358859556,sheribeltran22@yahoo.com,52,Osun,Group 2
29,Andrew Curry,Female,09913897759,andrewcurry83@hotmail.com,73,Abuja,Group 1
30,Jennifer Johnson,Male,09372982664,jenniferjohnson98@hotmail.com,70,Ondo,Group 1
31,Jean Moran,Male,08056255390,jeanmoran80@hotmail.com,19,Oyo,Group 1
32,Marcus Hoffman,Female,07852218433,marcushoffman61@hotmail.com,47,Lagos,Group 2
33,Brenda Oliver,Male,09355924031,brendaoliver41@hotmail.com,35,Cross River,Group 1
34,Allison Reed,Female,07129397235,allisonreed97@yahoo.com,52,Cross River,Group 1
